id,question,slug,start_date,end_date,volume,liquidity,active,closed,outcomes,outcomePrices,volumeNum,liquidityNum,endDateIso,volume24hr,clobTokenIds,fpmmLive,competitive,approved,spread,oneDayPriceChange,lastTradePrice,bestBid,bestAsk,outcome_1,price_1,outcome_2,price_2,outcome_3,price_3
118045,Will the average Ethereum gas price be below 170 Gwei on April 19?,will-the-average-ethereum-gas-price-be-below-170-gwei-on-april-19,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001213036580215342822046925103281565"", ""0.9999998786963419784657177953074897""]",22883.31,143.82,2021-04-19,0,"[""9410198955206270890687414013445929057787095124177233815374532428729331805807"", ""25090800469375926108750413730959985575228295540269525190126625012464773331777""]",True,0,True,1,0,0,0,1,Yes,1.213036580215343e-05,No,99.9999878696342,,
125038,"Will Binance Coin (BNB) have a higher market cap than Ethereum (ETH) at any time before July 1, 2021?",will-binance-coin-bnb-have-a-higher-market-cap-than-ethereum-eth-at-any-time-before-july-1-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001500509902913638878526540760901521"", ""0.9999998499490097086361121473459239""]",6965.52,799.61,2021-07-01,0,"[""24970551576452484713115042899621751653231131259151464505587370251393589274357"", ""105445677430354269500176528666815603857560459413432158456559433545797454231708""]",True,0,True,1,0,0,0,1,Yes,1.5005099029136389e-05,No,99.99998499490097,,
142028,"Will the average Ethereum gas price be below 150 Gwei on May 4, 2021?",will-the-average-ethereum-gas-price-be-below-150-gwei-on-may-4-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.9999991184472466568975804743287325"", ""0.0000008815527533431024195256712675433585""]",10166.57,0,2021-05-04,0,"[""2705657222475191211972785670198303281350124382512532594182613683806917791800"", ""13737213651717136986425104394025766874206919687105557661640134637248605060094""]",True,0,True,1,0,0,0,1,Yes,99.99991184472466,No,8.815527533431024e-05,,
201776,Will Tesla announce that it has bought Ethereum by July 25?,will-tesla-announce-that-it-has-bought-ethereum-by-july-25,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001648365017118930638697142970533521"", ""0.9999998351634982881069361302857029""]",10484.8,1512.51,2021-07-26,0,"[""79514322509571093229305293258777866608532970582421187903375068573386968394636"", ""67022998528096986558278566454383835934572119012902383790610223534252935041569""]",True,0,True,1,0,0,0,1,Yes,1.648365017118931e-05,No,99.99998351634983,,
213595,Will Ukraine or the Netherlands win their Euro 2020 match?,will-ukraine-or-the-netherlands-win-their-euro-2020-match,,,,,True,True,"[""Ukraine"", ""Netherlands""]","[""0.000000173079748947782676995828288768967"", ""0.9999998269202510522173230041717112""]",12635.13,1054.07,2021-06-13,0,"[""30263464263994908277572452739966635388852554478709187942805047707798218921479"", ""68831203452603890001964425306632010116700472995975634786296206372935156936512""]",True,0,True,1,0,0,0,1,Ukraine,1.7307974894778266e-05,Netherlands,99.9999826920251,,
213638,Will the Netherlands be the Group C winner in the Euro 2020?,will-the-netherlands-be-the-group-c-winner-in-the-euro-2020,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998512671675116196097947726397"", ""0.0000001487328324883803902052273603010893""]",2961.37,1400.54,2021-07-01,0,"[""74974228791823348398269570234769656624752685261911790592164889242005570357155"", ""26728114522227163143342176156502546887472182342876558410212898062129112218090""]",True,0,True,1,0,0,0,1,Yes,99.99998512671675,No,1.4873283248838038e-05,,
215348,What will the price of $ETH be on June 22?,what-will-the-price-of-eth-be-on-june-22,,,,,True,True,"[""Long"", ""Short""]","[""0.0000001043274919667911944499123068322057"", ""0.9999998956725080332088055500876932""]",1361588.14,99674.15,2021-06-22,0,"[""72370543484778440025605824548880113692450286302690038592065292141189624604489"", ""2818725845312472672911619901225194330752158728792101199898929360929589334094""]",True,0,True,1,0,0,0,1,Long,1.0432749196679119e-05,Short,99.99998956725081,,
218553,Will the Netherlands or Austria win their Euro 2020 match?,will-the-netherlands-or-austria-win-their-euro-2020-match,,,,,True,True,"[""Netherlands"", ""Austria""]","[""0.9999996589037425703324866391897711"", ""0.0000003410962574296675133608102289138013""]",710.49,175.38,2021-06-17,0,"[""3033313803852523494693595755027152822317180616105947925831461679898826324362"", ""1735659890181031569384930905898432618067148329714885780833288992242657441935""]",True,0,True,1,0,0,0,1,Netherlands,99.99996589037426,Austria,3.410962574296675e-05,,
219156,Will the Netherlands or the Czech Republic qualify for the Euro 2020 Quarterfinals?,will-the-netherlands-or-the-czech-republic-win-their-euro-2020-match,,,,,True,True,"[""Netherlands"", ""Czech Republic""]","[""0.00000002167109941190568959428804504242468"", ""0.999999978328900588094310405711955""]",3578.81,22.09,2021-06-27,0,"[""91943768198920194808548125141231693048759901053316688887165755565538703489025"", ""69281985713926477363732224421722649572612985095383724541133643608888633769205""]",True,0,True,1,0,0,0,1,Netherlands,2.167109941190569e-06,Czech Republic,99.99999783289006,,
222356,Will $ETH (Ethereum) be above $2500 on July 22?,will-eth-ethereum-be-above-2500-on-july-22,,,,,True,True,"[""Yes"", ""No""]","[""0.000001011818234406525071182918937444256"", ""0.9999989881817655934749288170810626""]",71080.37,0,2021-07-22,0,"[""49298840607481462450371362563369572195881010839420108585709556672238966834277"", ""64808222645029066109035299903811566813476374312735825674825388521671331570130""]",True,0,True,1,0,0,0,1,Yes,0.0001011818234406525,No,99.99989881817656,,
222641,"Will EIP-1559 be implemented on the Ethereum mainnet before August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-before-august-5-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001354841333568111109739192684001222"", ""0.9999998645158666431888890260807316""]",1729033.09,494.3,2021-08-05,0,,True,0,True,1,0,0,0,1,Yes,1.3548413335681113e-05,No,99.99998645158666,,
222995,What will the price of $ETH be on July 19?,what-will-the-price-of-eth-be-on-july-19,,,,,True,True,"[""Long"", ""Short""]","[""0.4127341084202023495618818942501731"", ""0.5872658915797976504381181057498269""]",206689.99,0,2021-07-19,0,"[""26705060690464768131357394016441785892635563021228612927034843250676125699520"", ""50179262616196042491868443870762584612674753842173886100251170260195864476218""]",True,0,True,1,0,0,0,1,Long,41.27341084202023,Short,58.72658915797977,,
224612,Will the floor price of CryptoPunks be below 19.5 ETH on August 10? ,will-the-floor-price-of-cryptopunks-be-below-195-eth-on-august-10,,,,,True,True,"[""Yes"", ""No""]","[""0.001692047377326565143824027072758037"", ""0.998307952622673434856175972927242""]",41077.33,0,2021-08-10,0,"[""9119380188042586136688993662375653884940980706819512463120420745767403126530"", ""52956723631393789748512796293614957484634019254320110593702018596968323008103""]",True,0,True,1,0,0,0,1,Yes,0.1692047377326565,No,99.83079526226734,,
225509,"Will EIP-1559 be implemented live on Ethereum mainnet by 10 AM ET on August 5, 2021?",will-eip-1559-be-implemented-on-the-ethereum-mainnet-by-10am-aug5,,,,,True,True,"[""Yes"", ""No""]","[""0.9999999429294131403497380615149209"", ""0.00000005707058685965026193848507912545342""]",210239.42,5199.02,2021-08-05,0,"[""70695227240141456409660293569755725589317268950302915669005334632426657662763"", ""50274010775577357250873953634757903731666772106991368465739513562200054882568""]",True,0,True,1,0,0,0,1,Yes,99.99999429294132,No,5.707058685965026e-06,,
226967,What will the price of $ETH be on August 11?,what-will-the-price-of-eth-be-on-august-11,,,,,True,True,"[""Long"", ""Short""]","[""0.7198637534817335397546480864316719"", ""0.2801362465182664602453519135683281""]",31961.65,0,2021-08-11,0,"[""97621801873568572699138543992193689792834978489414822778899475243816277855070"", ""61364394027925225736516041377433764757781965341760869682915106594936374440350""]",True,0,True,1,0,0,0,1,Long,71.98637534817335,Short,28.013624651826646,,
228764,"Will EIP-1559 be implemented live on Ethereum mainnet by 8:45 AM ET on August 5, 2021?",will-eip-1559-be-implemented-live-on-ethereum-mainnet-by-845-am-et-on-august-5-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.9999999951375562893866587846248493"", ""0.000000004862443710613341215375150713361498""]",6766.45,1000.36,2021-08-05,0,"[""95116452802266350620804411082204774961328494874477055435613617934211432691573"", ""102873691074865313164291941542058179705328859484376470877527205612817517758174""]",True,0,True,1,0,0,0,1,Yes,99.99999951375564,No,4.862443710613341e-07,,
231441,How much ETH will be burned one month after EIP-1559 was implemented?,how-much-eth-will-be-burned-one-month-after-eip-1559-was-implemented,,,,,True,True,"[""Long"", ""Short""]","[""0.7741562305045483714085031016126251"", ""0.2258437694954516285914968983873749""]",15984.39,299,2021-09-05,0,"[""4452104500564573426772831918502647741756221928001458053595126419220219163826"", ""66059933042465845776881509422263720172390500256280096350572137817401244398552""]",True,0,True,1,0,0,0,1,Long,77.41562305045484,Short,22.584376949545163,,
236507,"Will Ethereum switch to Proof-of-Stake (EIP-3675) by February 22, 2022?",will-ethereum-switch-to-proof-of-stake-eip-3675-by-february-22-2022,,,,,True,True,"[""Yes"", ""No""]","[""0.04366054564388016566059952415451633"", ""0.9563394543561198343394004758454837""]",75039.22,552.43,2022-02-22,0,"[""57115438160019508169358331109290411030214097927466113168852362169745656728936"", ""59596404741305203210152430509684376415957778438085176296732567244414503549218""]",True,0,True,1,0,0,0,1,Yes,4.366054564388016,No,95.63394543561199,,
238643,Will the floor price of CryptoPunks be above 100 ETH on October 1?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-october-1,,,,,True,True,"[""Yes"", ""No""]","[""0.9999997648439122750847342067348609"", ""0.000000235156087724915265793265139111312""]",650550.28,173.24,2021-10-01,0,"[""49125344448771780607608796905840873708027983413196065359403163824915647812624"", ""18664761294742891000343208511479150771200323054842509702229218922008046058511""]",True,0,True,1,0,0,0,1,Yes,99.99997648439123,No,2.3515608772491528e-05,,
238698,Will Theranos executive Elizabeth Holmes be found guilty of fraud?,will-theranos-exec-elizabeth-holmes-be-found-guilty-of-fraud,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998056472517328172393918249766"", ""0.0000001943527482671827606081750233991162""]",38757.57,556.65,,0,"[""44038400293369507809969227459414328040282143580634300652402079496819428792839"", ""65851968436508193439863581066285500188387783211398130726020021255553108779018""]",True,0,True,1,0,0,0,1,Yes,99.99998056472518,No,1.9435274826718277e-05,,
238712,"What will the ETH floor price of Bored Apes be on September 21, 2021?",what-will-the-floor-price-of-bored-apes-be-on-september-21-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.3969408619796065081099676559459853"", ""0.6030591380203934918900323440540147""]",57987.67,1.91,2021-09-21,0,"[""3455054471022231942395359286173474982812056230067309447111985690715336052546"", ""20858959200030546166100512284442451352672515423456559552597017001253032250000""]",True,0,True,1,0,0,0,1,Long,39.69408619796065,Short,60.30591380203935,,
238713,"What will the ETH floor price of CryptoPunks be on September 21, 2021?",what-will-the-floor-price-of-cryptopunks-be-on-october-1-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.4615716440944646568046814012032112"", ""0.5384283559055353431953185987967888""]",83509.98,3.62,2021-09-21,0,"[""5213077460934458664948707261758179842973649235809579063169481518439667518043"", ""77143010168458922986204939217332396387177743622178655830573892539894730888929""]",True,0,True,1,0,0,0,1,Long,46.157164409446466,Short,53.84283559055354,,
238714,"What will the ETH floor price of Loot (for Adventurers) be on September 21, 2021?",what-will-the-floor-price-of-loot-for-adventurers-be-on-september-21-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.1195145451431743838957313568398791"", ""0.8804854548568256161042686431601209""]",120866.01,0.01,2021-09-21,0,"[""24206580278489760127675006908218269376548398535315041032384926719788169018500"", ""61446487343024924168074565698202643145190750945120595207043229602601386712601""]",True,0,True,1,0,0,0,1,Long,11.951454514317438,Short,88.04854548568257,,
238715,"What will the ETH floor price of Blitmaps be on September 21, 2021?",what-will-the-floor-price-of-blitmaps-be-on-september-21-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.0000001418852655921535033025697118364326"", ""0.9999998581147344078464966974302882""]",72461.59,988.69,2021-09-21,0,"[""49622115171816026730363691816034776662215819315219592669322341583892516751885"", ""63812748883509485967227454553649816783250601804458110330745841328047278612386""]",True,0,True,1,0,0,0,1,Long,1.4188526559215349e-05,Short,99.99998581147344,,
238820,"What will the ETH floor price of Bored Apes be on October 1, 2021?",what-will-the-eth-floor-price-of-bored-apes-be-on-october-1-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.4959207386556789821967567497719875"", ""0.5040792613443210178032432502280125""]",8037.61,399,2021-10-01,0,"[""55974225201491121446536642178989654052030469937395183069424098725882658914030"", ""101624788964738659943768960294312836503193894431380256063268908661276763379722""]",True,0,True,1,0,0,0,1,Long,49.5920738655679,Short,50.4079261344321,,
238822,"What will the ETH floor price of CryptoPunks be on October 1, 2021?",what-will-the-eth-floor-price-of-cryptopunks-be-on-october-1-2021,,,,,True,True,"[""Long"", ""Short""]","[""0.7397724743893817510279932828471933"", ""0.2602275256106182489720067171528067""]",74385.28,399,2021-10-01,0,"[""84299191345692242273463357136221430398933127306822553721721314687922053923327"", ""9689947644731664341823322849994152127358884518473164122135459960949152794969""]",True,0,True,1,0,0,0,1,Long,73.97724743893818,Short,26.022752561061825,,
238927,Will the floor price of CryptoPunks be above 120 ETH on October 15?,will-the-floor-price-of-cryptopunks-be-above-120-eth-on-october-15,,,,,True,True,"[""Yes"", ""No""]","[""0.0000002359485802820169087663135368303391"", ""0.9999997640514197179830912336864632""]",86203.09,289.37,2021-10-15,0,"[""108352612060979549909188100361759230664590855095217569456584531206318249733304"", ""68000855991973409922663884902009651125569408927164673377372271166285096432610""]",True,0,True,1,0,0,0,1,Yes,2.359485802820169e-05,No,99.99997640514198,,
238990,"Will Tether lose its peg by November 30, 2021?",will-tether-lose-its-peg-by-november-30-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.00000138948960879062131508208707010702"", ""0.9999986105103912093786849179129299""]",8625.79,49.69,2021-11-30,0,"[""41661201939318069441703710197697394196633255077548616707634475709099455986157"", ""114848820784132233200546696931313130584744623260736082567853713128408426494182""]",True,0,True,1,0,0,0,1,Yes,0.00013894896087906215,No,99.99986105103912,,
238994,Will the floor price of CryptoPunks be above 100 ETH on November 1?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-november-1,,,,,True,True,"[""Yes"", ""No""]","[""0.0000002189746473669683770644085896110529"", ""0.9999997810253526330316229355914104""]",414785.27,92.05,2021-11-01,0,"[""83260268522044450499162723047104647300946943936867738247543570101251501827738"", ""90193642108312227115818185570884599223480552851679519466983989484112590382862""]",True,0,True,1,0,0,0,1,Yes,2.1897464736696836e-05,No,99.99997810253525,,
239015,Will @richerd sell Cryptopunk 6046 for 2500 ETH or more by October 22nd?,will-richerd-sell-cryptopunk-6046-for-at-least-2500eth-by-october-22nd,,,,,True,True,"[""Yes"", ""No""]","[""0.000000151719068052634354518338539232045"", ""0.9999998482809319473656454816614608""]",2551.17,1214.09,2021-10-22,0,"[""112153205161114564216414412269954072399387543891742736343675168708880254262817"", ""90732159608149432404608440353538203903044167414224593753654088772542149913766""]",True,0,True,1,0,0,0,1,Yes,1.5171906805263436e-05,No,99.99998482809319,,
239074,Will Ethereum reach $4500 by November 11th?,will-ethereum-reach-4500-by-november-11th,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998965384387978991693915399191"", ""0.0000001034615612021008306084600809434812""]",135700.36,297.58,2021-11-11,0,"[""24206791615603235275193628510798921494108946883204900895444942041683081672086"", ""19267677085747305362735950744628856194242127532374171260321105432917482374620""]",True,0,True,1,0,0,0,1,Yes,99.99998965384388,No,1.0346156120210083e-05,,
239138,"Will there be 750,000 or more total ETH burned before November 4th, 2021?",will-there-be-750000-or-more-total-eth-burned-before-november-4th-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998320549819907895412248336761"", ""0.0000001679450180092104587751663238661998""]",13932.58,869.28,2021-11-03,0,"[""113966971676965200471444255336798995547927890740472427183355912380986007048285"", ""60269638133544673244962257941670910861740583521598950412248093289241343572712""]",True,0,True,1,0,0,0,1,Yes,99.9999832054982,No,1.6794501800921045e-05,,
239148,Who will win UFC 268: Gaethje vs Chandler?,who-will-win-ufc-268-gaethje-vs-chandler,,,,,True,True,"[""Gaethje"", ""Chandler""]","[""0.9999998104741725095591483776993506"", ""0.0000001895258274904408516223006494354896""]",4570.72,459.36,2021-11-06,0,"[""58230982160318795985900179442141926999885696385858489084987798874713719079847"", ""39808653798860556154039952696377783924049100464838669914244076113142199315680""]",True,0,True,1,0,0,0,1,Gaethje,99.99998104741725,Chandler,1.8952582749044086e-05,,
239184,Will the floor price of CryptoPunks be above 100 ETH on November 15?,will-the-floor-price-of-cryptopunks-be-above-100-eth-on-november-15,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001872367894706976210625430061720838"", ""0.9999998127632105293023789374569938""]",20213.16,157.78,2021-11-15,0,"[""113709416681594006511797024873588148182317447484454590338465140579269716399031"", ""36716366431241545232026958953783736569291904087142400056693483105160296514849""]",True,0,True,1,0,0,0,1,Yes,1.8723678947069762e-05,No,99.99998127632105,,
239213,"Will there be 850,000 or more total ETH burned before November 10th, 2021?",will-there-be-850000-or-more-total-eth-burned-before-november-10th-2021,,,,,True,True,"[""Yes"", ""No""]","[""0.0000001572677181667810631982259394531876"", ""0.9999998427322818332189368017740605""]",6055.67,159.38,2021-11-10,0,"[""21208143891803532269240418482369592056367313320173185966887422619656700740496"", ""103850314425003440188534671429007562977166986225332890645514254567069276117943""]",True,0,True,1,0,0,0,1,Yes,1.5726771816678106e-05,No,99.99998427322818,,
239217,Will Ethereum reach $5000 by November 17th?,will-ethereum-reach-5000-by-november-17th,,,,,True,True,"[""Yes"", ""No""]","[""0.00000003970572874997674346982627846915306"", ""0.9999999602942712500232565301737215""]",188828.02,77.64,2021-11-17,0,"[""98836668144114123734336887054914612269133797591463109131416379560025321088031"", ""101378833345561627173171515866612458880357506068881955301427351430814030811975""]",True,0,True,1,0,0,0,1,Yes,3.970572874997675e-06,No,99.99999602942712,,
239311,Will the floor price of CryptoPunks be above 85 ETH on November 15?,will-the-floor-price-of-cryptopunks-be-above-85-eth-on-november-15,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998912386588818572142768560407"", ""0.0000001087613411181427857231439592883388""]",15843.47,100,2021-11-15,0,"[""112730131961225763863637195078931320455888589430694227221547400518683534132864"", ""31614572506624956583481893468660830201431027420806655502647258244885834023991""]",True,0,True,1,0,0,0,1,Yes,99.99998912386589,No,1.0876134111814279e-05,,
239315,Will $ENS (Ethereum Name Service) be above $40 on November 15?,will-ens-ethereum-name-service-be-above-40-on-november-15,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998540630157712381706118680282"", ""0.0000001459369842287618293881319718070801""]",27904.34,474.74,2021-11-15,0,"[""101249333961736997183165127935896453841075636083401479290049719340442670512844"", ""12039339154746313165630643053405038594309481903875038910182385794152278454338""]",True,0,True,1,0,0,0,1,Yes,99.99998540630158,No,1.4593698422876183e-05,,
239327,"Will $ETH (Ethereum) be above $4,750 on November 12th, 12pm ET?",will-eth-ethereum-be-above-4750-on-november-12th-12pm-et,,,,,True,True,"[""Yes"", ""No""]","[""0.0000002306266922057061647935100030762814"", ""0.9999997693733077942938352064899969""]",9092.42,183.12,2021-11-12,0,"[""15197433557765750743092399500463781158115726616494576606228209547674492817818"", ""114488740403612081333673476191364188319200243225831291785359994946233169616405""]",True,0,True,1,0,0,0,1,Yes,2.3062669220570616e-05,No,99.99997693733079,,
239354,Will Ethereum Name Service ($ENS) be listed for trading on Coinbase by November 18th?,will-ethereum-name-service-ens-be-listed-for-trading-on-coinbase-by-november-18th,,,,,True,True,"[""Yes"", ""No""]","[""0.9999987677172178416489688383089101"", ""0.000001232282782158351031161691089854234""]",66724.58,2.45,2021-11-18,0,"[""47702597542314115383824140217625032863560310201394303466595084984194714304398"", ""9737228977786015401923652511403480880373763001240779253623788732230753198263""]",True,0,True,1,0,0,0,1,Yes,99.99987677172179,No,0.0001232282782158351,,
239373,"What will the price of Ethereum Name Service ($ENS) be at noon on November 16, 2021?",what-will-the-price-of-ethereum-name-service-ens-be-at-noon-on-november-16-2021-1,,,,,True,True,"[""Long"", ""Short""]","[""0.4127574952696010747947787800634524"", ""0.5872425047303989252052212199365476""]",3773.64,0,2021-11-16,0,"[""42905731302349783459014997616137493423472178833617911589597883743656945352728"", ""77169377691934473687285805511881018630936199040511021579077151923035801646949""]",True,0,True,1,0,0,0,1,Long,41.27574952696011,Short,58.724250473039895,,
239401,Will the floor price of CryptoPunks be above 75 ETH on November 30?,will-the-floor-price-of-cryptopunks-be-above-75-eth-on-november-30,,,,,True,True,"[""Yes"", ""No""]","[""0.9999999590163825784362159494155784"", ""0.00000004098361742156378405058442158912722""]",4403.51,83.84,2021-11-30,0,"[""26165972229636895969386070185785012231413069513095805318404178398543682455697"", ""13218387381257073640397442709416518433032563461735289149378817603218493715192""]",True,0,True,1,0,0,0,1,Yes,99.99999590163826,No,4.098361742156378e-06,,
239461,"Will $ETH (Ethereum) be above $4,500 on November 24th, 12pm ET?",will-eth-ethereum-be-above-4500-on-november-24th-12pm-et,,,,,True,True,"[""Yes"", ""No""]","[""0.000001020984719533680317652157356507767"", ""0.9999989790152804663196823478426435""]",13680.34,0.38,2021-11-24,0,"[""179071438193670802306940758360807789702422738672287802245778210349802862403"", ""16399387969095481909241983667084891953937892446834506887681423536362507979898""]",True,0,True,1,0,0,0,1,Yes,0.00010209847195336803,No,99.99989790152804,,
239491,Will $ENS (Ethereum Name Service) be above $50 on November 25?,will-ens-ethereum-name-service-be-above-50-on-november-25,,,,,True,True,"[""Yes"", ""No""]","[""0.9999998334502138500920107070765535"", ""0.0000001665497861499079892929234465010572""]",37859.27,780.6,2021-11-25,0,"[""77701730674746565189005894887311939598269347998962875185173707087720928701757"", ""16894385077885053561544523840944556540177207204899183544613599592470317084447""]",True,0,True,1,0,0,0,1,Yes,99.99998334502138,No,1.6654978614990798e-05,,
239567,Which cryptocurrency will perform better in November 2021: Bitcoin or Ethereum?,which-cryptocurrency-will-perform-better-in-november-2021-bitcoin-or-ethereum,,,,,True,True,"[""Bitcoin"", ""Ethereum""]","[""0.0000001953963245940841066421646983765411"", ""0.9999998046036754059158933578353016""]",1574.36,300,2021-12-01,0,"[""82511729380122214555581244029419270032005645703137531364602364535815179060856"", ""20952082997922420618076644842244465198449891834105820787954504315755706361740""]",True,0,True,1,0,0,0,1,Bitcoin,1.953963245940841e-05,Ethereum,99.99998046036754,,
239599,Will the floor price of Chain Runners be above 1.25 ETH on December 2?,will-the-floor-price-of-chain-runners-be-above-1pt25-eth-on-december-2,,,,,True,True,"[""Yes"", ""No""]","[""0.00000001740431134336701219626987341802638"", ""0.9999999825956886566329878037301266""]",21861.87,33.07,2021-12-02,0,"[""33742610413670154214950431265625878271145385152620141626201161504531487975435"", ""66304065433522955330338752113867237047847190945382533672906681018124207380678""]",True,0,True,1,0,0,0,1,Yes,1.740431134336701e-06,No,99.99999825956887,,
